CountryName,Country Code,GDP_PerCapita_2000 US$,SuicideRate_2000,GDP_PerCapita_2005 US$,SuicideRate_2005,GDP_PerCapita_2010 US$,SuicideRate_2010,GDP_PerCapita_2015 US$,SuicideRate_2015,GDP_PerCapita_2016 US$,SuicideRate_2016
Afghanistan,AFG,,5.7,242.0313792,6.3,543.3030419,5.1,578.4663529,4.8,547.2281102,4.7
Angola,AGO,556.8363181,7.9,1902.422346,7.2,3587.883798,5.7,4166.979684,5,3506.072885,4.7
Albania,ALB,1126.683318,5.5,2673.787283,6.7,4094.358816,7.8,3952.830781,6,4124.108543,6.3
United Arab Emirates,ARE,33291.41937,3.2,39365.33592,3.1,33893.30351,3,38663.38381,2.8,38141.84676,2.8
Argentina,ARG,7708.100996,9.5,5109.851325,9,10385.96443,8.7,13789.06042,8.8,12790.24247,9.2
Armenia,ARM,622.7421391,3.3,1643.753029,4.4,3218.372707,6,3607.296697,7,3591.829276,6.6
Antigua and Barbuda,ATG,10920.84269,2,12547.61304,1.2,13092.07382,0.3,14526.58808,0.8,15494.30547,0.5
Australia,AUS,21679.24784,13.2,33999.24286,12.3,52022.1256,12.5,56748.42026,13.8,50019.96777,13.2
Austria,AUT,24564.45829,20,38403.13388,17.3,46858.04327,16,44176.67174,16,45103.32981,15.6
Azerbaijan,AZE,655.0974326,2.2,1578.40239,3.2,5842.805784,3.1,5500.320497,2.7,3880.738731,2.6
Burundi,BDI,136.4639708,7.1,151.6814634,8.4,234.2356469,9,305.5497728,8.9,282.1496815,9.1
Belgium,BEL,23207.40591,22.7,36967.25918,21.2,44380.17663,21.3,40441.05204,20.1,41449.09736,20.7
Benin,BEN,374.1923942,9.5,601.799977,9.7,757.6959074,9.6,783.9630778,9.9,788.5491965,9.9
Burkina Faso,BFA,226.4759814,8.2,406.9988071,7.6,575.4464527,7.5,575.3144542,7.7,583.8326203,7.7
Bangladesh,BGD,418.0689683,6.7,499.4619402,6.3,781.1535936,6.4,1248.453398,6.1,1401.620628,5.9
Bulgaria,BGR,1609.882452,18.5,3869.529455,13.4,6843.26695,12.5,6993.783483,11.4,7469.455638,11.5
Bahrain,BHR,13636.40824,6.7,17959.25933,7,20722.13729,5.2,22688.9444,5.9,22619.11667,5.9
Bosnia and Herzegovina,BIH,1467.776477,10.7,2980.602109,9.3,4635.517779,8,4727.277546,8.9,4994.68314,8.8
Belarus,BLR,1276.288034,43.1,3125.810535,45.1,6181.399916,38.2,5949.106307,26.3,5022.626643,26.2
Belize,BLZ,3364.423711,5.5,3926.013742,4.9,4331.434517,4.9,4883.179011,4.8,4904.034338,4.7
Brazil,BRA,3749.75325,4.8,4790.437088,5.5,11286.24302,5.7,8814.000987,6.5,8712.887044,6.5
Barbados,BRB,11496.6024,2.1,14104.14623,3.7,16056.01653,2.1,16066.4718,0.7,15847.14272,0.8
Brunei Darussalam,BRN,18012.55626,2.8,26105.27903,3.3,35269.55311,3.7,31164.56203,4.5,27157.34623,4.6
Bhutan,BTN,743.0501339,12.4,1262.247445,12.2,2312.860096,11.1,2829.891245,11.6,3012.961401,11.4
Botswana,BWA,3522.308678,11.8,5520.12472,12.6,6434.815657,11.1,6799.875234,9.7,7243.856017,9.3
Central African Republic,CAF,251.2068774,8.8,331.1629242,8.8,487.9453833,9.5,380.4042935,8.1,406.5319611,7.7
Canada,CAN,24190.24962,13,36266.18712,13.2,47450.31847,13,43495.05439,12.5,42279.90082,12.5
Switzerland,CHE,37868.32306,21.8,54952.67372,20.8,74605.72102,16.2,82081.59712,17.1,80037.50304,17.2
Chile,CHL,5074.901624,10.9,7598.525121,10.6,12808.03459,12.2,13574.1715,10.9,13748.0884,10.6
China,CHN,959.3724836,13.2,1753.417829,11.7,4550.453596,10.9,8033.388043,9.6,8078.790474,9.7
Cameroon,CMR,649.9918454,13.3,1011.880073,11.9,1285.261726,11.7,1326.969277,12.3,1363.403851,12.2
Colombia,COL,2520.480898,7.6,3404.190199,6.7,6326.549469,7.2,6175.87603,8.3,5871.223524,7.2
Comoros,COM,645.8186908,5.1,1068.600321,6.5,1315.214806,6.6,1271.057042,6.8,1287.420965,6.8
Cabo Verde,CPV,1259.323656,9.4,2099.157484,10.1,3378.25486,11.1,3043.013984,11,3130.963385,11.3
Costa Rica,CRI,3772.870012,7.3,4654.824822,7.9,8141.913599,8.6,11299.13618,7.9,11666.45661,7.9
Cuba,CUB,2747.098575,17.4,3786.664793,13,5730.354775,14.4,7694.01192,13.7,8060.795886,13.9
Cyprus,CYP,14388.3467,2.2,24959.26591,2.6,30818.47993,5.7,23217.48415,4.9,24019.13787,5.3
Germany,DEU,23718.7467,14.7,34696.62092,13.6,41785.55691,13.7,41394.65816,13.8,42443.46507,13.6
Djibouti,DJI,768.1760767,5.8,904.7297489,5.9,1343.26873,5.2,1787.4775,6.4,1898.87599,6.7
Denmark,DNK,30743.54768,16,48799.8256,16.2,58041.39844,12.7,53254.856,11.9,54467.10452,12.8
Dominican Republic,DOM,2869.105861,9.1,3970.32284,8.2,5568.046676,8,6691.71692,9.7,6957.564507,9.9
Algeria,DZA,1765.022577,4.1,3113.094651,3.8,4480.785777,3.3,4177.888966,3.2,3948.811897,3.2
Ecuador,ECU,1445.279324,6.1,3002.136867,8.9,4633.590358,8.5,6124.491643,9.6,6060.093329,7.1
Eritrea,ERI,308.1337836,11.6,388.5951226,10.4,667.7441778,9,,8.1,,7.9
Spain,ESP,14676.70609,8.6,26510.71745,8.1,30736.62785,7,25817.38661,8.1,26622.29914,8.7
Estonia,EST,4070.032827,29.5,10338.31322,22.5,14638.60482,18.3,17412.44867,15.8,18228.05825,17.8
Ethiopia,ETH,124.4608003,8,162.4327265,7.9,341.5541149,7.3,639.3043597,7.2,716.8800387,7.2
Finland,FIN,24253.25042,24.6,38969.17163,20.4,46202.41516,18.9,42494.65662,14.4,43493.41934,15.9
Fiji,FJI,2076.568784,4.3,3659.579329,3.5,3652.527437,4.8,5390.745258,5,5647.347365,5
France,FRA,22364.02939,22.3,34760.18777,21.1,40638.334,20.2,36613.37522,18,36962.22229,17.7
Gabon,GAB,4125.716664,6.7,6888.627147,6.1,8840.730664,6.9,7381.746749,7.3,6979.709196,7.1
United Kingdom,GBR,27987.75116,9.1,41803.89138,8.2,39079.84261,7.8,44472.1517,8.7,40539.91961,8.9
Georgia,GEO,749.8961143,6,1642.775074,5,3073.524753,6.9,3756.383768,8.1,3857.281728,8.2
Ghana,GHA,258.4709595,4,491.9463779,4.3,1298.436952,4.7,1766.005701,5.3,1931.38947,5.4
Guinea,GIN,363.482479,6.3,322.4156816,6.8,672.4244026,6.6,769.2560137,6.4,733.0207588,6.3
Guinea-Bissau,GNB,308.1441193,5,436.3020197,4.4,557.6321326,4.2,603.1585129,3.9,661.0076549,4
