country,year,sex,age,suicides_no,population,suicides_per_100k,gdp,gdp_per_capita,generation,Region,happiness_rank,happiness_score,family,life_expectancy,freedom,govt_corruption,generosity,dystopia_residual
Argentina,2015,male,75+ years,245,712691,34.38,"594,749,285,413",14981,Silent,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,male,15-24 years,656,3500580,18.74,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,male,55-74 years,431,3011963,14.31,"594,749,285,413",14981,Boomers,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,male,25-34 years,465,3289927,14.13,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,male,35-54 years,633,5166179,12.25,"594,749,285,413",14981,Generation X,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,15-24 years,153,3394201,4.51,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,55-74 years,125,3520779,3.55,"594,749,285,413",14981,Boomers,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,25-34 years,114,3235582,3.52,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,35-54 years,166,5301368,3.13,"594,749,285,413",14981,Generation X,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,75+ years,27,1344980,2.01,"594,749,285,413",14981,Silent,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,male,5-14 years,39,3672155,1.06,"594,749,285,413",14981,Generation Z,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Argentina,2015,female,5-14 years,19,3549219,0.54,"594,749,285,413",14981,Generation Z,Latin America and Caribbean,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
Armenia,2015,male,75+ years,12,61355,19.56,"10,553,337,673",3775,Silent,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,55-74 years,16,231213,6.92,"10,553,337,673",3775,Boomers,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,75+ years,5,100754,4.96,"10,553,337,673",3775,Silent,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,35-54 years,15,356715,4.21,"10,553,337,673",3775,Generation X,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,25-34 years,10,255540,3.91,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,55-74 years,5,297936,1.68,"10,553,337,673",3775,Boomers,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,15-24 years,3,212010,1.42,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,35-54 years,4,412360,0.97,"10,553,337,673",3775,Generation X,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,15-24 years,2,216876,0.92,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,25-34 years,2,274108,0.73,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,5-14 years,0,175417,0.0,"10,553,337,673",3775,Generation Z,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,5-14 years,0,201051,0.0,"10,553,337,673",3775,Generation Z,Central and Eastern Europe,127,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
Australia,2015,male,35-54 years,944,3149299,29.97,"1,349,034,029,453",60656,Generation X,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,male,75+ years,181,673787,26.86,"1,349,034,029,453",60656,Silent,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,male,25-34 years,423,1762265,24.0,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,male,55-74 years,457,2337430,19.55,"1,349,034,029,453",60656,Boomers,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,male,15-24 years,281,1608990,17.46,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,female,35-54 years,294,3203643,9.18,"1,349,034,029,453",60656,Generation X,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,female,15-24 years,110,1526305,7.21,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,female,25-34 years,119,1747715,6.81,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,female,55-74 years,152,2411343,6.3,"1,349,034,029,453",60656,Boomers,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,female,75+ years,52,884347,5.88,"1,349,034,029,453",60656,Silent,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
