"Household debt, loans and debt securities (Percent of GDP)",2015,2016,2017,2018,2019
Afghanistan,0.57747285,0.64899214,0.65299773,0.6694918,0.5651345
Albania,11.276374,11.273276,11.321095,11.144755,11.586303
Argentina,6.3521012,5.9562333,6.914792,6.6578152,5.4020998
Australia,120.96198,123.87593,123.06193,122.32724,119.49445
Austria,50.13809,50.273482,49.42049,48.896339,48.640216
Bangladesh,no data,no data,8.5259028,8.296246,8.0675832
Belgium,58.396888,58.70265,59.214005,60.085174,62.072143
Brazil,28.466734,28.09207,28.380826,29.200923,30.494023
Bulgaria,23.611036,23.006036,22.634616,23.006834,23.289357
Cameroon,3.7091924,3.5202776,3.6954919,4.2779088,4.5388787
Canada,97.824552,101.3123,100.80061,100.79421,101.23405
Central African Republic,4.443781,4.8981226,4.2812243,3.3758144,no data
Chad,2.5442562,2.9776527,2.8133054,2.7884956,no data
Chile,41.089643,42.312907,43.752524,45.434715,47.328189
"China, People's Republic of",39.057281,44.737021,48.873173,52.300463,55.611692
Colombia,25.095883,26.24915,26.959432,27.706771,27.577036
"Congo, Republic of ",3.2756775,3.5228542,3.3113312,2.9825076,3.978994
Costa Rica,29.081434,30.522891,31.510892,31.902175,30.744684
Croatia,38.422266,35.134679,34.09645,34.065265,34.807074
Cyprus,127.25417,116.56237,106.37934,98.342306,90.865715
Czech Republic,30.166767,31.131416,31.024689,31.214999,31.190094
Denmark,119.22375,117.10653,114.77942,112.29473,110.43263
El Salvador,28.624051,29.079224,29.290615,28.982119,29.393265
Estonia,39.46691,39.678125,39.1705,38.290729,37.568146
Finland,63.306289,64.126187,64.516029,65.170203,65.959003
France,56.08743,57.051271,58.444822,59.772685,61.735089
Germany,53.630485,53.313959,53.034578,53.421334,54.391412
Greece,61.884372,59.96215,56.711316,56.646491,54.297008
Honduras,28.921449,30.651305,29.963317,31.747564,32.17401
Hong Kong SAR,67.085828,67.634609,70.781542,72.67619,81.089333
Hungary,21.239867,20.284723,18.849827,17.976933,18.668663
Iceland,80.914476,75.684522,75.495916,76.289024,76.32303
India,9.6522985,9.8052518,10.499032,11.067801,11.963127
Indonesia,16.796649,16.982795,17.03609,16.992189,16.970403
Ireland,55.831478,52.724233,46.578531,41.720017,37.559286
Israel,40.632064,41.10919,41.67394,41.863845,41.772982
Italy,41.833202,41.171444,40.759925,40.878331,41.227971
Japan,57.798919,58.448526,58.986341,60.274093,61.080035
Jordan,no data,no data,32.7,32.7,32.2
Kazakhstan,10.716436,9.0387277,8.6857109,8.8142687,9.7404655
"Korea, Republic of",83.113465,87.336909,89.353859,91.703898,95.204013
Latvia,24.551746,23.639315,22.43092,21.110922,20.330694
Lesotho,10.85561,11.340815,12.6425,13.573601,14.164139
Lithuania,22.3135,22.78593,22.357834,22.725586,23.177475
Luxembourg,62.14252,62.766097,65.328738,67.13725,66.842684
Malaysia,69.741644,69.13988,66.192041,67.990856,68.210616
Malta,51.056798,51.199564,48.951287,48.717597,49.70409
Mauritius,32.825186,32.821811,32.403954,32.442458,34.16694
Mexico,15.213253,15.94094,16.014266,16.042013,16.169678
Morocco,29.513824,29.808413,29.552813,29.883387,30.165378
Myanmar,1.5722138,2.1508774,2.1240431,1.9481699,2.0052467
Nepal,30.24565,38.715868,36.195785,37.299021,33.271844
Netherlands,112.99159,111.29519,108.31136,104.81093,101.33947
New Zealand,89.941883,92.480211,91.30014,92.570268,94.30466
Nicaragua,20.317258,22.659224,23.775305,20.600715,18.010776
North Macedonia ,22.432693,23.440563,24.478463,25.437801,26.800708
Norway,95.750053,102.08153,102.05797,100.60303,105.07052
Pakistan,3.0994283,3.4121815,3.5995296,3.9158804,3.7133936
Peru,15.090954,15.014037,15.329277,16.114961,17.246456
Poland,36.023917,36.625825,34.913743,35.056175,34.63715
Portugal,77.043311,72.629173,69.189012,66.302896,63.896767
Romania,15.149404,14.773398,14.202175,13.966224,13.498638
Russian Federation,15.964975,15.593725,16.305853,17.034134,19.065016
Samoa,18.180779,18.568487,20.12629,21.697526,21.597577
Saudi Arabia,12.936476,13.612647,12.770243,11.412915,11.85398
Sierra Leone,1.056476,1.1396062,1.343171,1.6129673,1.3539342
Singapore,57.328701,56.867254,55.559121,52.890055,51.773783
Slovak Republic,34.459905,38.356431,41.125303,42.337614,43.589972
Slovenia,27.612052,27.346866,27.156984,27.009188,27.087942
Solomon Islands,6.4949179,7.4059711,6.6856685,6.6883721,6.2187348
South Africa,36.45935,34.109854,33.177095,33.464645,34.181985
Spain,68.045546,64.502352,61.192569,59.026878,56.90198
Sri Lanka,10.551919,11.800127,12.286033,13.075697,12.734258
Sweden,82.444871,85.69659,87.341446,87.870239,88.622414
Switzerland,124.87463,126.72734,128.98087,128.50873,129.36056
São Tomé and Príncipe,12.927246,12.746563,11.995231,11.117757,10.206613
Tajikistan,9.3984425,7.2217512,5.9006382,5.5174347,5.5187608
Thailand,81.161713,79.382118,78.141757,78.391388,79.893607
Turkey,17.731485,17.466774,16.875238,14.583787,14.578879
Ukraine,8.7955592,6.8565808,5.8421789,5.653355,5.3569047
United Arab Emirates,25.145695,26.475998,23.834646,21.761013,21.492004
United Kingdom,85.133309,85.293699,85.083848,84.971674,83.986976
United States,77.662995,77.854053,77.507186,75.760357,75.343818
Vanuatu,36.614283,35.23745,35.559333,34.534503,32.025446
,,,,,
"©IMF, 2020",,,,,
