LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,6.7,
AUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,6.7,
AUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,6.7,
AUS,SOCSUPPORT,OLD,PC,A,2016,6.2,
AUS,SOCSUPPORT,OLD,PC,A,2017,6.2,
AUS,SOCSUPPORT,OLD,PC,A,2018,6.2,
AUS,SOCSUPPORT,YOUNG,PC,A,2016,1.8,
AUS,SOCSUPPORT,YOUNG,PC,A,2017,1.8,
AUS,SOCSUPPORT,YOUNG,PC,A,2018,1.8,
AUT,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7,
AUT,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7,
AUT,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7,
AUT,SOCSUPPORT,OLD,PC,A,2016,9,
AUT,SOCSUPPORT,OLD,PC,A,2017,9,
AUT,SOCSUPPORT,OLD,PC,A,2018,9,
AUT,SOCSUPPORT,YOUNG,PC,A,2016,3.1,
AUT,SOCSUPPORT,YOUNG,PC,A,2017,3.1,
AUT,SOCSUPPORT,YOUNG,PC,A,2018,3.1,
BEL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7.8,
BEL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7.8,
BEL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7.8,
BEL,SOCSUPPORT,OLD,PC,A,2016,9.2,
BEL,SOCSUPPORT,OLD,PC,A,2017,9.2,
BEL,SOCSUPPORT,OLD,PC,A,2018,9.2,
BEL,SOCSUPPORT,YOUNG,PC,A,2016,4.1,
BEL,SOCSUPPORT,YOUNG,PC,A,2017,4.1,
BEL,SOCSUPPORT,YOUNG,PC,A,2018,4.1,
CAN,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7.1,
CAN,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7.1,
CAN,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7.1,
CAN,SOCSUPPORT,OLD,PC,A,2016,7.4,
CAN,SOCSUPPORT,OLD,PC,A,2017,7.4,
CAN,SOCSUPPORT,OLD,PC,A,2018,7.4,
CAN,SOCSUPPORT,YOUNG,PC,A,2016,4.3,
CAN,SOCSUPPORT,YOUNG,PC,A,2017,4.3,
CAN,SOCSUPPORT,YOUNG,PC,A,2018,4.3,
CZE,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,8.9,
