LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,OVEROBESE,MEASURED,PC_POP15,A,2017,65.2,
AUS,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,47.6,
BEL,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,49.3,
CAN,OVEROBESE,MEASURED,PC_POP15,A,2017,59.1,
CAN,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,53.1,
CAN,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,53.8,
CAN,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,53.8,
FIN,OVEROBESE,MEASURED,PC_POP15,A,2017,67.6,
FIN,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,56,D
FIN,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,57,D
FIN,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,55,D
FIN,OVEROBESE,SELFREPORTED,PC_POP15,A,2019,57,
DEU,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,52.7,
GRC,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,55,
ISL,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,65.4,B
IRL,OVEROBESE,MEASURED,PC_POP15,A,2017,62,
IRL,OVEROBESE,MEASURED,PC_POP15,A,2019,61,
ITA,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,45.9,
ITA,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,46,
ITA,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,46.1,
JPN,OVEROBESE,MEASURED,PC_POP15,A,2016,25.4,
JPN,OVEROBESE,MEASURED,PC_POP15,A,2017,25.9,
JPN,OVEROBESE,MEASURED,PC_POP15,A,2018,26.7,
KOR,OVEROBESE,MEASURED,PC_POP15,A,2016,34.5,
KOR,OVEROBESE,MEASURED,PC_POP15,A,2017,33.7,
KOR,OVEROBESE,MEASURED,PC_POP15,A,2018,34.3,
KOR,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,27.3,
KOR,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,27.7,
KOR,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,30.6,
MEX,OVEROBESE,MEASURED,PC_POP15,A,2016,72.5,
MEX,OVEROBESE,MEASURED,PC_POP15,A,2018,75.2,
NLD,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,47.6,
NLD,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,47.3,
NLD,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,48.5,
NZL,OVEROBESE,MEASURED,PC_POP15,A,2016,66.8,
NZL,OVEROBESE,MEASURED,PC_POP15,A,2017,66.6,
NZL,OVEROBESE,MEASURED,PC_POP15,A,2018,66.8,
NZL,OVEROBESE,MEASURED,PC_POP15,A,2019,65.1,
ESP,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,53,
SWE,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,48.8,
SWE,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,48.2,
SWE,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,49.9,
CHE,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,41.8,
GBR,OVEROBESE,MEASURED,PC_POP15,A,2016,61.4,
GBR,OVEROBESE,MEASURED,PC_POP15,A,2017,64.3,
GBR,OVEROBESE,MEASURED,PC_POP15,A,2018,63.3,
USA,OVEROBESE,MEASURED,PC_POP15,A,2016,71,
USA,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,65.3,
USA,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,65.7,
USA,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,66.2,
CHL,OVEROBESE,MEASURED,PC_POP15,A,2016,74.2,
EST,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,51.7,
EST,OVEROBESE,SELFREPORTED,PC_POP15,A,2018,50.7,
ISR,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,53.1,B
ISR,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,50.1,
DNK,OVEROBESE,SELFREPORTED,PC_POP15,A,2017,51,
TUR,OVEROBESE,SELFREPORTED,PC_POP15,A,2016,53.9,
TUR,OVEROBESE,MEASURED,PC_POP15,A,2017,64.4,
BEL,OVEROBESE,MEASURED,PC_POP15,A,2018,55.4,
LVA,OVEROBESE,MEASURED,PC_POP15,A,2016,54.6,D
LVA,OVEROBESE,MEASURED,PC_POP15,A,2018,58.7,D
