LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3542.5,
AUS,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3503.3,
AUT,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3774.1,
AUT,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3660.3,
BEL,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4078.2,
CAN,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4164.3,
CAN,YRLIFELOST,TOT,100000HAB_0_69,A,2017,4169,
CZE,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4832.4,
CZE,YRLIFELOST,TOT,100000HAB_0_69,A,2017,4803.3,
FIN,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4005.6,
FIN,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3980.4,
FRA,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4066.6,
DEU,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4139,
DEU,YRLIFELOST,TOT,100000HAB_0_69,A,2017,4001.1,
GRC,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4233.3,
HUN,YRLIFELOST,TOT,100000HAB_0_69,A,2016,6942.3,
HUN,YRLIFELOST,TOT,100000HAB_0_69,A,2017,6939.9,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3127.1,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3237.6,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3154.8,
ITA,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3132.3,
JPN,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3076.9,
JPN,YRLIFELOST,TOT,100000HAB_0_69,A,2017,2994.4,
KOR,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3457.4,
KOR,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3292.4,
LUX,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3109.5,
MEX,YRLIFELOST,TOT,100000HAB_0_69,A,2016,8660.7,
MEX,YRLIFELOST,TOT,100000HAB_0_69,A,2017,8849.3,
NLD,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3547.3,
NLD,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3466.9,
NOR,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3198.8,
POL,YRLIFELOST,TOT,100000HAB_0_69,A,2016,6438.7,
POL,YRLIFELOST,TOT,100000HAB_0_69,A,2017,6406.4,
PRT,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4107.6,
PRT,YRLIFELOST,TOT,100000HAB_0_69,A,2017,4071.8,
ESP,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3280.5,
ESP,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3253.1,
SWE,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3251.1,
SWE,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3209.4,
CHE,YRLIFELOST,TOT,100000HAB_0_69,A,2016,2990.3,
TUR,YRLIFELOST,TOT,100000HAB_0_69,A,2016,5685.2,D
GBR,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4185.9,
USA,YRLIFELOST,TOT,100000HAB_0_69,A,2016,6584.5,
USA,YRLIFELOST,TOT,100000HAB_0_69,A,2017,6593.1,
BRA,YRLIFELOST,TOT,100000HAB_0_69,A,2016,9117.8,
BRA,YRLIFELOST,TOT,100000HAB_0_69,A,2017,8861.5,
CHL,YRLIFELOST,TOT,100000HAB_0_69,A,2016,5068.2,
CHL,YRLIFELOST,TOT,100000HAB_0_69,A,2017,4895.2,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2016,6574.2,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2017,6025.8,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2018,5847.3,
ISR,YRLIFELOST,TOT,100000HAB_0_69,A,2016,3311.5,
ISR,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3236.1,
SVN,YRLIFELOST,TOT,100000HAB_0_69,A,2016,4089.2,
SVN,YRLIFELOST,TOT,100000HAB_0_69,A,2017,3919.9,
COL,YRLIFELOST,TOT,100000HAB_0_69,A,2016,6470.4,
COL,YRLIFELOST,TOT,100000HAB_0_69,A,2017,6293.6,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2016,9121.5,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2017,8144.4,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8023.8,
CRI,YRLIFELOST,TOT,100000HAB_0_69,A,2016,5721.2,
CRI,YRLIFELOST,TOT,100000HAB_0_69,A,2017,5631.6,
