region,sui_per_100k_2015,happiness_score_2015,human_development_index,gdp_percapita_2015
Australia and New Zealand,11.9,7.28,0.92,47653.98
Central and Eastern Europe,11.85,5.21,0.77,8239.26
Eastern Asia,12.2,5.33,0.78,15492.15
Latin America and Caribbean,9.3,6.12,0.72,8076.05
Middle East and Northern Africa,4.09,5.76,0.77,18120.05
North America,11.9,7.28,0.92,50149.26
Southeastern Asia,6.89,5.38,0.7,11397.26
Southern Asia,9.89,4.58,0.58,1750.77
Sub-Saharan Africa,12.2,4.14,0.5,1949.95
Western Europe,9.63,6.73,0.89,45605.83
